date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,home_bp_adj,away_bp_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-04-04,SF,SEA,10,9,1632.6,1572.3,0,0,0,0,0,0.6281,1,0.4651,0.1383
2025-04-04,WSH,AZ,4,6,1437.3,1632.2,0,0,0,0,0,0.3472,0,0.4265,0.1205
2025-04-04,PHI,LAD,3,2,1609.6,1734.0,0,0,0,0,0,0.4211,1,0.8649,0.3351
2025-04-04,ATL,MIA,10,0,1581.1,1507.9,0,0,0,0,0,0.6412,1,0.4444,0.1287
2025-04-04,KC,BAL,8,2,1528.0,1511.7,0,0,0,0,0,0.581,1,0.5429,0.1755
2025-04-04,TEX,TB,5,2,1501.1,1565.6,0,0,0,0,0,0.489,1,0.7155,0.2612
2025-04-04,MIL,CIN,3,2,1554.9,1493.8,0,0,0,0,0,0.6289,1,0.4638,0.1377
2025-04-04,LAA,CLE,6,8,1370.8,1553.6,0,0,0,0,0,0.3591,0,0.4449,0.129
2025-04-05,DET,CWS,7,2,1596.1,1359.0,0,0,0,0,0,0.7745,1,0.2556,0.0509
2025-04-05,MIN,HOU,6,1,1398.0,1579.5,0,0,0,0,0,0.3605,1,1.0202,0.4089
2025-04-05,CHC,SD,7,1,1628.2,1703.0,0,0,0,0,0,0.4773,1,0.7396,0.2732
2025-04-05,WSH,AZ,4,3,1431.1,1638.4,0,0,0,0,0,0.3351,1,1.0934,0.4421
2025-04-05,PHI,LAD,1,3,1617.4,1726.2,0,0,0,0,0,0.4386,0,0.5773,0.1924
2025-04-05,PIT,NYY,4,10,1454.1,1610.9,0,0,0,0,0,0.386,0,0.4878,0.149
2025-04-05,KC,BAL,1,8,1543.4,1496.3,0,0,0,0,0,0.6144,0,0.9529,0.3774
2025-04-05,TEX,TB,6,4,1514.9,1551.8,0,0,0,0,0,0.5208,1,0.6524,0.2296
2025-04-05,NYM,TOR,3,2,1643.4,1482.8,0,0,0,0,0,0.7206,1,0.3277,0.0781
2025-04-05,MIL,CIN,7,11,1559.5,1489.3,0,0,0,0,0,0.6382,0,1.0168,0.4073
2025-04-05,ATL,MIA,0,4,1596.1,1492.9,0,0,0,0,0,0.6705,0,1.1102,0.4496
2025-04-05,COL,ATH,4,7,1409.2,1442.8,0,0,0,0,0,0.5246,0,0.7437,0.2752
2025-04-05,SF,SEA,4,1,1637.2,1567.7,0,0,0,0,0,0.6375,1,0.4502,0.1314
2025-04-05,LAA,CLE,10,4,1364.2,1560.2,0,0,0,0,0,0.346,1,1.0612,0.4277
2025-04-05,BOS,STL,5,4,1535.0,1569.8,0,0,0,0,0,0.5233,1,0.6477,0.2273
2025-04-06,WSH,AZ,5,4,1440.0,1629.5,0,0,0,0,0,0.3525,1,1.0426,0.4192
2025-04-06,BOS,STL,18,7,1541.4,1563.4,0,0,0,0,0,0.538,1,0.62,0.2135
2025-04-06,PHI,LAD,8,7,1608.6,1735.0,0,0,0,0,0,0.4189,1,0.8702,0.3377
2025-04-06,PIT,NYY,5,4,1441.1,1623.9,0,0,0,0,0,0.3592,1,1.024,0.4107
2025-04-06,NYM,TOR,2,1,1646.3,1479.9,0,0,0,0,0,0.7252,1,0.3213,0.0755
2025-04-06,DET,CWS,4,3,1601.2,1353.9,0,0,0,0,0,0.7805,1,0.2478,0.0482
2025-04-06,KC,BAL,4,1,1517.3,1522.4,0,0,0,0,0,0.557,1,0.5852,0.1963
2025-04-06,MIN,HOU,7,9,1420.4,1557.2,0,0,0,0,0,0.4075,0,0.5235,0.1661
2025-04-06,MIL,CIN,8,2,1538.5,1510.3,0,0,0,0,0,0.5941,1,0.5208,0.1648
2025-04-06,CHC,SD,7,8,1648.1,1683.1,0,0,0,0,0,0.523,0,0.7403,0.2736
2025-04-06,TEX,TB,4,3,1525.1,1541.6,0,0,0,0,0,0.5442,1,0.6084,0.2077
2025-04-06,COL,ATH,12,5,1394.7,1457.3,0,0,0,0,0,0.4913,1,0.7107,0.2588
2025-04-06,SF,SEA,5,4,1646.0,1558.9,0,0,0,0,0,0.6551,1,0.423,0.119
2025-04-06,LAA,CLE,6,2,1389.0,1535.5,0,0,0,0,0,0.397,1,0.9237,0.3636
2025-04-06,ATL,MIA,7,1,1574.2,1514.8,0,0,0,0,0,0.6271,1,0.4667,0.1391
2025-04-07,DET,NYY,6,2,1603.1,1615.2,0,0,0,0,0,0.549,1,0.5996,0.2034
2025-04-07,PIT,STL,8,4,1449.8,1541.1,0,0,0,0,0,0.4583,1,0.7802,0.2934
2025-04-07,WSH,LAD,6,4,1448.8,1727.2,0,0,0,0,0,0.2732,1,1.2974,0.5282
2025-04-07,BOS,TOR,2,6,1563.7,1477.1,0,0,0,0,0,0.6546,0,1.063,0.4285
2025-04-07,NYM,MIA,2,0,1649.1,1501.9,0,0,0,0,0,0.7096,1,0.343,0.0843
2025-04-07,CHC,TEX,7,0,1640.9,1531.3,0,0,0,0,0,0.6765,1,0.3908,0.1046
2025-04-07,KC,MIN,4,2,1529.1,1412.4,0,0,0,0,0,0.683,1,0.3812,0.1005
2025-04-07,AZ,BAL,1,5,1620.7,1510.6,0,0,0,0,0,0.677,0,1.1301,0.4583
2025-04-07,SEA,HOU,4,3,1554.8,1565.1,0,0,0,0,0,0.5512,1,0.5957,0.2014
2025-04-07,SF,CIN,0,2,1650.1,1495.6,0,0,0,0,0,0.7157,0,1.2577,0.5122
2025-04-07,ATH,SD,4,5,1436.6,1690.3,0,0,0,0,0,0.2933,0,0.3472,0.086
2025-04-08,DET,NYY,5,0,1617.1,1601.2,0,0,0,0,0,0.5805,1,0.5439,0.176
2025-04-08,CLE,CWS,1,0,1516.5,1352.1,0,0,0,0,0,0.7236,1,0.3235,0.0764
2025-04-08,NYM,MIA,10,5,1654.0,1497.0,0,0,0,0,0,0.7177,1,0.3317,0.0797
2025-04-08,PIT,STL,3,5,1466.8,1524.0,0,0,0,0,0,0.4975,0,0.6881,0.2475
2025-04-08,WSH,LAD,8,2,1464.1,1711.9,0,0,0,0,0,0.2983,1,1.2096,0.4924
2025-04-08,BOS,TOR,1,6,1542.2,1498.6,0,0,0,0,0,0.6106,0,0.9433,0.3729
2025-04-08,TB,LAA,3,4,1535.4,1407.9,0,0,0,0,0,0.6927,0,1.1799,0.4798
2025-04-08,ATL,PHI,7,5,1587.1,1616.5,0,0,0,0,0,0.5295,1,0.6358,0.2214
2025-04-08,CHC,TEX,10,6,1652.0,1520.2,0,0,0,0,0,0.6965,1,0.3618,0.0921
2025-04-08,KC,MIN,2,1,1534.8,1406.8,0,0,0,0,0,0.6932,1,0.3665,0.0941
2025-04-08,COL,MIL,1,7,1415.3,1553.2,0,0,0,0,0,0.4064,0,0.5215,0.1651
2025-04-08,AZ,BAL,4,3,1598.6,1532.7,0,0,0,0,0,0.6338,1,0.4559,0.1341
2025-04-08,SEA,HOU,1,2,1560.8,1559.1,0,0,0,0,0,0.5647,0,0.8318,0.3189
2025-04-08,SF,CIN,0,1,1634.3,1511.4,0,0,0,0,0,0.6886,0,1.1668,0.4742
2025-04-08,ATH,SD,10,4,1433.6,1693.3,0,0,0,0,0,0.2883,1,1.2438,0.5065
2025-04-09,PIT,STL,2,1,1456.2,1534.7,0,0,0,0,0,0.473,1,0.7487,0.2777
2025-04-09,NYM,MIA,0,5,1661.6,1489.4,0,0,0,0,0,0.7298,0,1.3084,0.5325
2025-04-09,DET,NYY,3,4,1631.3,1587.0,0,0,0,0,0,0.6113,0,0.945,0.3737
2025-04-09,CHC,TEX,2,6,1659.7,1512.5,0,0,0,0,0,0.7097,0,1.2367,0.5036
2025-04-09,ATH,SD,1,2,1460.2,1666.7,0,0,0,0,0,0.3359,0,0.4093,0.1128
2025-04-09,AZ,BAL,9,0,1603.1,1528.2,0,0,0,0,0,0.6429,1,0.4417,0.1275
2025-04-09,SF,CIN,8,6,1624.6,1521.0,0,0,0,0,0,0.6709,1,0.3991,0.1083
2025-04-09,WSH,LAD,5,6,1490.4,1685.6,0,0,0,0,0,0.3468,0,0.4259,0.1203
2025-04-09,SEA,HOU,7,6,1552.8,1567.1,0,0,0,0,0,0.5466,1,0.6041,0.2056
2025-04-09,CLE,CWS,3,2,1519.3,1349.2,0,0,0,0,0,0.7281,1,0.3173,0.0739
2025-04-09,BOS,TOR,1,2,1519.8,1521.0,0,0,0,0,0,0.5615,0,0.8243,0.3152
2025-04-09,TB,LAA,5,4,1525.7,1417.7,0,0,0,0,0,0.6751,1,0.3929,0.1056
2025-04-09,ATL,PHI,3,4,1597.2,1606.4,0,0,0,0,0,0.5524,0,0.8038,0.3051
2025-04-09,KC,MIN,0,4,1538.2,1403.4,0,0,0,0,0,0.6991,0,1.201,0.4887
2025-04-09,COL,MIL,2,17,1401.3,1567.2,0,0,0,0,0,0.3765,0,0.4724,0.1417
2025-04-10,TB,LAA,1,11,1529.4,1413.9,0,0,0,0,0,0.6819,0,1.1455,0.465
2025-04-10,CLE,CWS,6,1,1522.1,1346.5,0,0,0,0,0,0.7324,1,0.3115,0.0716
2025-04-10,KC,MIN,3,2,1515.5,1426.1,0,0,0,0,0,0.6573,1,0.4197,0.1175
2025-04-10,COL,MIL,7,2,1383.5,1585.0,0,0,0,0,0,0.3406,1,1.077,0.4348
2025-04-10,BOS,TOR,4,3,1511.8,1529.0,0,0,0,0,0,0.5434,1,0.6099,0.2085
2025-04-10,ATL,PHI,4,2,1589.3,1614.2,0,0,0,0,0,0.5346,1,0.6262,0.2166
2025-04-11,CLE,KC,7,0,1529.1,1519.5,0,0,0,0,0,0.5735,1,0.556,0.1819
2025-04-11,CIN,PIT,5,3,1515.0,1463.3,0,0,0,0,0,0.6191,1,0.4795,0.1451
2025-04-11,TB,ATL,6,3,1496.3,1599.3,0,0,0,0,0,0.4451,1,0.8094,0.3079
2025-04-11,NYY,SF,1,9,1595.7,1630.6,0,0,0,0,0,0.523,0,0.7403,0.2736
2025-04-11,MIA,WSH,4,7,1515.6,1486.4,0,0,0,0,0,0.595,0,0.9039,0.354
2025-04-11,CWS,BOS,11,1,1339.5,1518.0,0,0,0,0,0,0.3636,1,1.0118,0.405
2025-04-11,HOU,LAA,14,3,1561.1,1447.1,0,0,0,0,0,0.6805,1,0.3849,0.1021
2025-04-11,MIN,DET,6,7,1422.0,1622.6,0,0,0,0,0,0.3416,0,0.4179,0.1167
2025-04-11,STL,PHI,2,0,1527.5,1604.3,0,0,0,0,0,0.475,1,0.7445,0.2757
2025-04-11,SD,COL,8,0,1670.4,1406.5,0,0,0,0,0,0.79,1,0.2357,0.0441
2025-04-11,SEA,TEX,5,3,1558.9,1535.5,0,0,0,0,0,0.5888,1,0.5297,0.1691
2025-04-11,AZ,MIL,0,7,1617.4,1562.1,0,0,0,0,0,0.6229,0,0.9752,0.388
2025-04-11,ATH,NYM,6,7,1456.5,1635.5,0,0,0,0,0,0.363,0,0.451,0.1318
2025-04-11,LAD,CHC,3,0,1689.5,1636.7,0,0,0,0,0,0.6203,1,0.4776,0.1442
2025-04-11,BAL,TOR,16,4,1513.9,1522.9,0,0,0,0,0,0.5527,1,0.5929,0.2001
2025-04-12,MIN,DET,0,4,1418.2,1626.5,0,0,0,0,0,0.3342,0,0.4067,0.1117
2025-04-12,STL,PHI,1,4,1538.8,1593.0,0,0,0,0,0,0.5009,0,0.695,0.2509
2025-04-12,NYY,SF,8,4,1572.8,1653.5,0,0,0,0,0,0.4705,1,0.7541,0.2804
2025-04-12,ATH,NYM,3,1,1452.3,1639.7,0,0,0,0,0,0.3545,1,1.037,0.4167
2025-04-12,BAL,TOR,5,4,1536.1,1500.7,0,0,0,0,0,0.6018,1,0.5078,0.1586
2025-04-12,TB,ATL,4,5,1511.4,1584.2,0,0,0,0,0,0.4795,0,0.6529,0.2299
2025-04-12,CWS,BOS,3,2,1369.3,1488.2,0,0,0,0,0,0.4272,1,0.8505,0.3281
2025-04-12,MIA,WSH,7,6,1498.6,1503.4,0,0,0,0,0,0.5575,1,0.5844,0.1958
2025-04-12,CLE,KC,6,3,1546.0,1502.6,0,0,0,0,0,0.6103,1,0.4938,0.1519
2025-04-12,CIN,PIT,5,2,1522.5,1455.8,0,0,0,0,0,0.6347,1,0.4546,0.1334
