team,name,position,il_type,mlb_id,fg_id,war,war_source,war_impact,is_pitcher
CIN,Julian Aguiar,P,Injured 60-Day,687924,,,unknown,0.0,True
CIN,Rhett Lowder,P,Injured 60-Day,695076,,,unknown,0.0,True
CIN,Tyler Callihan,LF,Injured 60-Day,682997,,,unknown,0.0,False
CIN,Wade Miley,P,Injured 15-Day,489119,8779,0.0,current,0.0,True
CLE,Andrew Walters,P,Injured 60-Day,689958,,,unknown,0.0,True
CLE,Ben Lively,P,Injured 60-Day,594902,14932,0.4,current,0.4,True
CLE,Gabriel Arias,SS,Injured 10-Day,672356,22563,1.1,current,1.1,False
CLE,John Means,P,Injured 60-Day,607644,16269,0.5,prior_year,0.5,True
CLE,Lane Thomas,CF,Injured 10-Day,657041,16939,-0.5,current,0.0,False
CLE,Paul Sewald,P,Injured 15-Day,623149,13892,0.0,current,0.0,True
CLE,Sam Hentges,P,Injured 60-Day,656529,18548,0.3,prior_year,0.3,True
CLE,Shane Bieber,P,Injured 60-Day,669456,19427,0.3,current,0.3,True
CLE,Trevor Stephan,P,Injured 60-Day,663986,19932,,unknown,0.0,True
CLE,Will Brennan,RF,Injured 60-Day,686823,25660,-0.1,current,0.0,False
COL,Ezequiel Tovar,SS,Injured 10-Day,678662,24064,0.8,current,0.8,False
COL,Jeff Criswell,P,Injured 60-Day,676105,,,unknown,0.0,True
COL,Kris Bryant,DH,Injured 60-Day,592178,15429,-0.5,current,0.0,False
COL,Thairo Estrada,2B,Injured 10-Day,642731,16426,-0.3,current,0.0,False
CWS,Brooks Baldwin,LF,Injured 10-Day,681460,,,unknown,0.0,False
CWS,Davis Martin,P,Injured 15-Day,663436,21448,1.3,current,1.3,True
CWS,Drew Thorpe,P,Injured 60-Day,689672,,,unknown,0.0,True
CWS,Jared Shuster,P,Injured 15-Day,694363,27472,0.2,current,0.2,True
CWS,Jesse Scholtens,P,Injured 60-Day,669947,19205,0.1,current,0.1,True
CWS,Ky Bush,P,Injured 60-Day,681066,,,unknown,0.0,True
CWS,Martín Pérez,P,Injured 60-Day,527048,6902,0.8,current,0.8,True
CWS,Miguel Castro,P,Injured 60-Day,612434,15684,0.0,current,0.0,True
CWS,Prelander Berroa,P,Injured 60-Day,672860,22932,0.1,prior_year,0.1,True
CWS,Ryan Noda,1B,Injured 10-Day,676116,23312,-0.4,current,0.0,False
CWS,Tim Elko,1B,Injured 10-Day,671284,,,unknown,0.0,False
DET,Alex Cobb,P,Injured 60-Day,502171,6562,0.3,prior_year,0.3,True
DET,Alex Lange,P,Injured 60-Day,656638,19883,0.0,current,0.0,True
DET,Jackson Jobe,P,Injured 60-Day,695549,,,unknown,0.0,True
DET,Jason Foley,P,Injured 60-Day,671345,19531,0.3,prior_year,0.3,True
DET,José Urquidy,P,Injured 60-Day,664353,18413,0.0,current,0.0,True
DET,Kerry Carpenter,RF,Injured 10-Day,681481,25961,1.5,current,1.5,False
DET,Sawyer Gipson-Long,P,Injured 15-Day,687830,26048,0.0,current,0.0,True
DET,Sean Guenther,P,Injured 60-Day,674944,20045,0.1,current,0.1,True
DET,Ty Madden,P,Injured 60-Day,680744,,,unknown,0.0,True
HOU,Brendan Rodgers,2B,Injured 10-Day,663898,17907,-0.3,current,0.0,False
HOU,Chas McCormick,LF,Injured 10-Day,676801,19599,0.0,current,0.0,False
HOU,Cristian Javier,P,Injured 60-Day,664299,17606,0.9,current,0.9,True
HOU,Hayden Wesneski,P,Injured 60-Day,669713,27581,0.2,current,0.2,True
HOU,J.P. France,P,Injured 60-Day,641585,21212,0.1,current,0.1,True
HOU,Jacob Melton,LF,Injured 10-Day,689200,,,unknown,0.0,False
HOU,Jake Meyers,CF,Injured 10-Day,676694,20308,2.3,current,2.3,False
HOU,Jeremy Peña,SS,Injured 10-Day,665161,21636,5.7,current,5.7,False
HOU,Luis Garcia,P,Injured 60-Day,677651,23735,0.1,current,0.1,True
HOU,Luis Guillorme,3B,Injured 10-Day,641645,16451,0.0,current,0.0,False
HOU,Pedro León,RF,Injured 60-Day,694175,,,unknown,0.0,False
HOU,Ronel Blanco,P,Injured 60-Day,669854,19407,0.6,current,0.6,True
HOU,Shawn Dubin,P,Injured 15-Day,681869,24977,0.0,current,0.0,True
HOU,Spencer Arrighetti,P,Injured 60-Day,681293,,,unknown,0.0,True
HOU,Yordan Alvarez,LF,Injured 60-Day,670541,19556,0.5,current,0.5,False
HOU,Zach Dezenzo,LF,Injured 60-Day,701305,,,unknown,0.0,False
KC,Alec Marsh,P,Injured 60-Day,679525,27451,1.4,prior_year,1.4,True
KC,Cole Ragans,P,Injured 60-Day,666142,21846,2.1,current,2.1,True
KC,Daniel Lynch IV,P,Injured 15-Day,663738,21537,0.0,current,0.0,True
KC,Hunter Harvey,P,Injured 60-Day,640451,15507,0.5,current,0.5,True
