"Date,Team,Name,Pos,Age,Service Time,Transaction Details,2025 WAR,Proj. WAR"
"23-Dec,CHC,Jacob Webb,RP,32,5.046,Agreed to one-year contract (2026),0.2,0"
"22-Dec,SEA,Rob Refsnyder,OF,35,7.048,Agreed to one-year contract (2026),1,0.5"
"22-Dec,PHI,Zach Pop,RP,29,3.032,Agreed to one-year contract (2026),-0.4,0"
"22-Dec,ATL,Tristin English,INF/OF,29,0.022,Agreed to Minor League contract (2026),-0.3,"
"22-Dec,MIN,Raul Brito,RP,29,,Agreed to Minor League contract (2026),,"
"22-Dec,KCR,Helcris Olivárez,RP,25,0.131,Agreed to Minor League contract (2026),,"
"22-Dec,CLE,Codi Heuer,RP,29,4.01,Agreed to Minor League contract (2026),-0.2,"
"22-Dec,STL,Jared Shuster,RP,27,1.148,Agreed to Minor League contract (2026),0.2,"
"21-Dec,COL,Vimael Machín,INF/OF,32,1.149,Agreed to Minor League contract (2026),0,0"
"21-Dec,CHW,Munetaka Murakami,1B/3B,26,,Agreed to two-year contract (2026-27),,2.2"
"20-Dec,CLE,Stuart Fairchild,OF,30,3.114,Agreed to Minor League contract (2026),0,0"
"20-Dec,TOR,Jorge Alcala,RP,30,5.165,Agreed to Minor League contract (2026),-0.5,0"
"20-Dec,PIT,Dominic Fletcher,OF,28,1.064,Agreed to Minor League contract (2026),0.3,0"
"20-Dec,HOU,Christian Roa,RP,27,0.065,Agreed to Minor League contract (2026),0,"
"19-Dec,ATH,Brian Serven,C,31,1.089,Agreed to Minor League contract (2026),,"
"19-Dec,SFG,Gregory Santos,RP,26,3.055,Agreed to Minor League contract (2026),-0.2,0"
"19-Dec,NYY,Adam Kloffenstein,SP/RP,25,0.001,Agreed to Minor League contract (2026),,"
"19-Dec,WSN,Warming Bernabel,1B/3B,24,0.065,Agreed to Minor League contract (2026),-0.4,"
"19-Dec,PHI,Christian Cairo,INF,25,0,Agreed to Minor League contract (2026),,"
"19-Dec,ATH,Cade Marlowe,OF,29,0.09,Agreed to Minor League contract (2026),,"
"19-Dec,SDP,Sung-Mun Song,INF,29,,Agreed to three-year contract (2026-28),,0.8"
